,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1686695.0,660.060729,1.0,2.16,1.24,9.64,8.19,-17.0,-39.06,-4.69,-1.69,-7.81,0.18879720806830788,-0.059029741931235336,-0.14793040822380374,-15.262847451308847,-0.9052827329224428,-119.0385830310132,-0.4894,-0.1328,-0.0079,-0.8618
1,1686695.0,660.060729,1.0,2.16,1.24,9.64,8.19,-17.0,-39.06,-4.69,-1.69,-7.81,0.18879720806830788,-0.059029741931235336,-0.14793040822380374,-15.262847451308847,-0.9052827329224428,-119.0385830310132,-0.4894,-0.1328,-0.0079,-0.8618
2,1686730.0,660.109297,1.0,2.7,1.3,9.98,8.19,-16.56,-40.25,-5.94,-8.06,-16.31,-0.04259524270268797,-0.4211512453953703,-0.6049405256498179,-15.32065719904219,-0.7219315974960596,-118.6107135023718,-0.4928,-0.1333,-0.0063,-0.8599
3,1686730.0,660.109297,1.0,2.7,1.3,9.98,8.19,-16.56,-40.25,-5.94,-8.06,-16.31,-0.04259524270268797,-0.4211512453953703,-0.6049405256498179,-15.32065719904219,-0.7219315974960596,-118.6107135023718,-0.4928,-0.1333,-0.0063,-0.8599
4,1686767.0,660.11302,1.0,3.46,1.39,10.15,7.88,-16.56,-40.25,-6.88,-15.88,-27.87,-0.38553250506611897,-0.9372049743553,-0.9589996099204896,-15.690733139619653,-0.3552344019497601,-117.4973779425748,-0.5005,-0.1365,-0.0031,-0.8549
5,1686767.0,660.11302,1.0,3.46,1.39,10.15,7.88,-16.56,-40.25,-6.88,-15.88,-27.87,-0.38553250506611897,-0.9372049743553,-0.9589996099204896,-15.690733139619653,-0.3552344019497601,-117.4973779425748,-0.5005,-0.1365,-0.0031,-0.8549
6,1686802.0,660.1836940000001,1.0,4.75,1.94,10.3,7.88,-16.56,-40.25,-2.88,-47.0,-31.25,-1.2851702827681215,-1.6275897189525534,-1.5121568740061857,-16.50085429879803,0.1718874029970642,-116.33637960164222,-0.5076,-0.1435,0.0015,-0.8496
7,1686802.0,660.1836940000001,1.0,4.75,1.94,10.3,7.88,-16.56,-40.25,-2.88,-47.0,-31.25,-1.2851702827681215,-1.6275897189525534,-1.5121568740061857,-16.50085429879803,0.1718874029970642,-116.33637960164222,-0.5076,-0.1435,0.0015,-0.8496
8,1686839.0,660.2449780000001,1.0,4.47,1.28,10.44,7.06,-15.88,-39.88,23.69,-77.19,-47.81,-0.12885653555911036,-1.3257277649354018,-1.5440654790578332,-19.13390399645449,0.9969591404369118,-114.21690781898718,-0.517,-0.1662,0.0087,-0.8397
9,1686839.0,660.2449780000001,1.0,4.47,1.28,10.44,7.06,-15.88,-39.88,23.69,-77.19,-47.81,-0.12885653555911036,-1.3257277649354018,-1.5440654790578332,-19.13390399645449,0.9969591404369118,-114.21690781898718,-0.517,-0.1662,0.0087,-0.8397
10,1686876.0,660.252145,1.0,7.38,1.03,10.96,5.19,-15.06,-41.06,12.88,-103.62,-69.0,-0.3883772259468745,-3.5358732939418447,-2.960247163350017,-21.648844944741544,1.6272548279067642,-111.60396041024363,-0.5295,-0.1878,0.0142,-0.8271
11,1686876.0,660.252145,1.0,7.38,1.03,10.96,5.19,-15.06,-41.06,12.88,-103.62,-69.0,-0.3883772259468745,-3.5358732939418447,-2.960247163350017,-21.648844944741544,1.6272548279067642,-111.60396041024363,-0.5295,-0.1878,0.0142,-0.8271
12,1686908.0,660.269539,1.0,6.72,2.97,11.79,5.19,-15.06,-41.06,37.13,-165.5,-32.25,-0.7285705424079478,-0.970505281777338,-4.0320892656548635,-26.723683975588173,3.7822081305683333,-107.80196748253584,-0.541,-0.2311,0.033,-0.8079999999999999
13,1686908.0,660.269539,1.0,6.72,2.97,11.79,5.19,-15.06,-41.06,37.13,-165.5,-32.25,-0.7285705424079478,-0.970505281777338,-4.0320892656548635,-26.723683975588173,3.7822081305683333,-107.80196748253584,-0.541,-0.2311,0.033,-0.8079999999999999
14,1686943.0,660.312156,1.0,6.36,2.83,10.26,1.5,-15.06,-40.75,95.44,-193.0,-1.19,0.2130585786304255,-0.019711578322332942,-2.5901365794225906,-34.39903434859307,5.181303758795194,-104.59559036293443,-0.5334,-0.2957,0.0452,-0.7912
15,1686943.0,660.312156,1.0,6.36,2.83,10.26,1.5,-15.06,-40.75,95.44,-193.0,-1.19,0.2130585786304255,-0.019711578322332942,-2.5901365794225906,-34.39903434859307,5.181303758795194,-104.59559036293443,-0.5334,-0.2957,0.0452,-0.7912
16,1686980.0,660.375602,1.0,8.47,5.55,11.33,-3.69,-15.38,-40.0,93.94,-222.13,-18.75,-0.9796903167199954,1.0183141062382421,-5.323305163990451,-40.91347187505044,6.3631010384043885,-101.28424437309431,-0.5262,-0.3495,0.0555,-0.7732
17,1686980.0,660.375602,1.0,8.47,5.55,11.33,-3.69,-15.38,-40.0,93.94,-222.13,-18.75,-0.9796903167199954,1.0183141062382421,-5.323305163990451,-40.91347187505044,6.3631010384043885,-101.28424437309431,-0.5262,-0.3495,0.0555,-0.7732
18,1687017.0,660.4327089999999,1.0,6.56,3.84,9.26,-12.69,-17.69,-36.69,168.81,-253.06,35.81,1.6328305769268026,2.2893572340903368,-1.8389288933728436,-51.97818068894303,7.040350098228411,-96.71406744218916,-0.4957,-0.4382,0.0614,-0.7473
19,1687017.0,660.4327089999999,1.0,6.56,3.84,9.26,-12.69,-17.69,-36.69,168.81,-253.06,35.81,1.6328305769268026,2.2893572340903368,-1.8389288933728436,-51.97818068894303,7.040350098228411,-96.71406744218916,-0.4957,-0.4382,0.0614,-0.7473
20,1687052.0,660.555832,1.0,8.69,4.93,7.29,-12.69,-17.69,-36.69,117.56,-149.81,-14.0,0.5076816129676538,1.1837867164408329,-2.494000730340764,-58.70745568211353,6.764830589593756,-93.52158145031368,-0.4748,-0.4902,0.059000000000000004,-0.7285
21,1687052.0,660.555832,1.0,8.69,4.93,7.29,-12.69,-17.69,-36.69,117.56,-149.81,-14.0,0.5076816129676538,1.1837867164408329,-2.494000730340764,-58.70745568211353,6.764830589593756,-93.52158145031368,-0.4748,-0.4902,0.059000000000000004,-0.7285
22,1687089.0,660.599945,1.0,5.17,5.17,4.78,-20.5,-20.19,-29.56,173.81,-193.25,-34.19,0.04330983411619227,2.652679413926027,1.4839331247721803,-66.87128845427674,5.318958088351593,-88.03849807642652,-0.4598,-0.551,0.0464,-0.6949
23,1687089.0,660.599945,1.0,5.17,5.17,4.78,-20.5,-20.19,-29.56,173.81,-193.25,-34.19,0.04330983411619227,2.652679413926027,1.4839331247721803,-66.87128845427674,5.318958088351593,-88.03849807642652,-0.4598,-0.551,0.0464,-0.6949
24,1687126.0,660.6174480000001,1.0,3.67,4.94,5.18,-23.0,-22.06,-26.25,159.81,-118.25,33.63,1.2706836875814556,4.024160805907888,2.9585559020549983,-73.36782485981517,3.8853982832056495,-85.23488069373651,-0.4284,-0.5974,0.0339,-0.6771
25,1687126.0,660.6174480000001,1.0,3.67,4.94,5.18,-23.0,-22.06,-26.25,159.81,-118.25,33.63,1.2706836875814556,4.024160805907888,2.9585559020549983,-73.36782485981517,3.8853982832056495,-85.23488069373651,-0.4284,-0.5974,0.0339,-0.6771
26,1687160.0,660.620635,1.0,5.69,6.42,1.97,-23.0,-22.06,-26.25,175.31,-32.13,74.06,-1.2824471275527478,2.7071626233699098,1.5301773276799473,-78.3956670621913,2.085681528609333,-84.50513857353,-0.3848,-0.632,0.0182,-0.6724
27,1687160.0,660.620635,1.0,5.69,6.42,1.97,-23.0,-22.06,-26.25,175.31,-32.13,74.06,-1.2824471275527478,2.7071626233699098,1.5301773276799473,-78.3956670621913,2.085681528609333,-84.50513857353,-0.3848,-0.632,0.0182,-0.6724
28,1687195.0,660.629304,1.0,4.5,6.1,0.35,-26.69,-23.87,-19.0,183.81,-68.31,96.87,-1.9468774956398345,3.042431797552668,3.133136924099748,-83.44139093704848,0.4583674584234223,-84.55159136755906,-0.3234,-0.6655,0.004,-0.6727
29,1687195.0,660.629304,1.0,4.5,6.1,0.35,-26.69,-23.87,-19.0,183.81,-68.31,96.87,-1.9468774956398345,3.042431797552668,3.133136924099748,-83.44139093704848,0.4583674584234223,-84.55159136755906,-0.3234,-0.6655,0.004,-0.6727
30,1687232.0,660.666797,1.0,6.77,6.9,-1.15,-29.0,-24.37,-16.87,179.06,-22.12,79.25,-2.9726195801588617,2.752602037329705,0.9549770024393408,-86.23550907382523,-0.9740399810272836,-84.75308505755767,-0.2802,-0.6835,-0.0085,-0.674
31,1687232.0,660.666797,1.0,6.77,6.9,-1.15,-29.0,-24.37,-16.87,179.06,-22.12,79.25,-2.9726195801588617,2.752602037329705,0.9549770024393408,-86.23550907382523,-0.9740399810272836,-84.75308505755767,-0.2802,-0.6835,-0.0085,-0.674
32,1687269.0,660.684635,1.0,9.79,3.03,-2.7,-32.25,-26.5,-11.38,215.94,-40.0,59.5,-2.3335746903061727,-1.3572938275940545,-0.4416270566733562,-90.37223725523552,-4.332593112917143,-83.99528064351469,-0.2186,-0.7094,-0.0378,-0.6691
